GEOID,UNDER18,AGE18_64,OVER64
330019652002032,0,0,0
330019652002033,4,13,6
330019652002034,0,0,0
330019652002035,0,0,0
330019652002036,0,1,0
330019652002037,0,0,0
330019652002038,1,2,0
330019652002039,20,32,0
330019652002040,7,16,1
330019652002041,0,3,0
330019652002042,7,7,1
330019652002043,0,0,0
330019652002044,2,11,0
330019652002045,29,110,43
330019652002046,3,7,0
330019652002047,3,8,1
330019652002048,0,0,0
330019652002049,0,0,0
330019652002050,5,5,0
330019652002051,6,34,15
330019652002052,23,66,18
330019652002053,0,6,2
330019652002054,1,8,1
330019652002055,3,17,2
330019652002056,0,0,0
330019652002057,14,16,3
330019653001000,2,9,0
330019653001001,0,0,0
330019653001002,0,3,0
330019653001003,0,0,0
330019653001004,6,16,3
330019653001005,0,0,0
330019653001006,0,0,0
330019653001007,0,0,0
330019653001008,1,2,2
330019653001009,0,2,0
330019653001010,0,2,0
330019653001011,13,28,7
330019653001012,0,0,0
330019653001013,0,0,0
330019653001014,0,2,0
330019653001015,1,5,1
330019653001016,0,1,0
330019653001017,19,58,7
330019653001018,0,4,1
330019653001019,3,4,0
330019653001020,2,8,3
330019653001021,0,0,0
330019653001022,0,1,0
330019653001023,0,7,2
330019653001024,3,23,6
330019653001025,0,0,0
330019653001026,0,0,0
330019653001027,0,0,0
330019653001028,0,0,0
330019653001029,0,0,0
330019653001030,0,5,2
330019653001031,0,3,3
330019653001032,0,1,3
330019653001033,0,0,0
330019653001034,0,3,0
330019653001035,0,0,0
330019653001036,0,0,0
330019653001037,0,0,0
330019653001038,2,18,8
330019653001039,0,0,0
330019653001040,0,2,0
330019653001041,6,12,3
330019653001042,5,37,10
330019653001043,2,10,0
330019653001044,0,0,0
330019653001045,0,0,0
330019653001046,0,0,0
330019653001047,0,0,0
330019653001048,0,0,0
330019653001049,0,0,0
330019653001050,0,0,0
330019653001051,0,6,2
330019653001052,4,7,0
330019653001053,1,18,4
330019653001054,0,4,1
330019653001055,0,2,0
330019653001056,4,21,8
330019653001057,0,0,0
330019653001058,0,5,1
330019653001059,30,96,35
330019653001060,6,34,4
330019653001061,0,0,0
330019653001062,0,0,0
330019653001063,0,0,0
330019653001064,0,0,0
330019653001065,12,29,2
330019653001066,6,11,1
330019653001067,14,47,5
330019653001068,12,30,13
330019653001069,0,0,1
330019653001070,0,7,0
330019653001071,0,0,0
330019653001072,1,2,0
330019653001073,4,29,4
330019653001074,0,0,0
330019653001075,4,8,4
330019653001076,0,0,4
330019653001077,0,3,0
330019653001078,0,1,2
330019653001079,0,0,0
330019653001080,0,4,0
330019653001081,0,0,0
330019653001082,0,0,0
330019653001083,0,0,0
330019653001084,0,0,0
330019653001085,0,0,0
330019653001086,0,0,0
330019653001087,0,0,0
330019653001088,0,0,0
330019653001089,0,0,0
330019653001090,0,0,0
330019653001091,0,0,0
330019653001092,0,0,0
330019653001093,0,2,0
330019653001094,0,0,0
330019653001095,0,0,0
330019653001096,0,0,0
330019653001097,0,0,0
330019653001098,1,6,5
330019653001099,0,2,0
330019653001100,0,0,0
330019653001101,0,3,1
330019653001102,0,0,0
330019653001103,0,0,0
330019653001104,0,0,0
330019653002000,0,0,0
330019653002001,6,37,5
330019653002002,1,2,0
330019653002003,0,0,0
330019653002004,0,1,1
330019653002005,0,0,0
330019653002006,1,5,4
330019653002007,0,0,0
330019653002008,0,12,4
330019653002009,0,3,2
330019653002010,0,6,0
330019653002011,0,1,0
330019653002012,0,1,0
330019653002013,21,35,15
330019653002014,4,17,2
330019653002015,28,92,20
330019653002016,0,0,0
330019653002017,2,9,1
330019653002018,3,19,1
330019653002019,0,0,0
330019653002020,0,1,0
330019653002021,11,30,11
330019653002022,0,0,0
330019653002023,1,2,0
330019653002024,0,3,0
330019653002025,18,29,5
330019653002026,15,44,7
330019653002027,17,70,88
330019653002028,0,0,0
330019653002029,7,9,4
330019653002030,0,0,0
330019653002031,0,2,3
330019653002032,0,4,0
330019653002033,12,12,5
330019653002034,0,0,1
330019653002035,0,0,0
330019653002036,0,0,0
330019653002037,34,104,34
330019653002038,10,21,5
330019653002039,0,0,0
330019653002040,0,0,0
330019653002041,27,70,17
330019653002042,18,25,5
330019653002043,0,0,0
330019653002044,46,134,27
330019653002045,1,1,0
330019653002046,0,2,2
330019653002047,0,0,0
330019653002048,0,2,0
330019653002049,0,0,0
330019653002050,0,0,0
330019653002051,1,6,5
330019653002052,0,0,0
330019653003000,0,0,0
330019653003001,0,0,0
330019653003002,1,6,2
330019653003003,0,0,0
330019653003004,0,0,0
330019653003005,0,0,0
330019653003006,0,0,0
330019653003007,0,0,0
330019653003008,0,0,0
330019653003009,0,0,0
330019653003010,0,0,0
330019653003011,0,0,0
330019653003012,0,2,0
330019653003013,0,0,0
330019653003014,0,0,0
330019653003015,17,73,11
330019653003016,0,0,0
330019653003017,17,33,9
330019653003018,4,14,2
330019653003019,1,3,0
330019653003020,0,3,1
330019653003021,0,7,1
330019653003022,0,6,0
330019653003023,0,0,0
330019653003024,0,4,0
330019653003025,0,0,0
330019653003026,0,0,0
330019653003027,0,0,0
330019653003028,0,1,1
330019653003029,2,6,2
330019653003030,0,40,53
330019653003031,1,4,4
330019653003032,0,4,6
330019653003033,3,17,1
330019653003034,0,0,0
330019653003035,0,0,0
330019653003036,0,0,0
330019653003037,7,32,6
330019653003038,0,4,1
330019653003039,2,12,4
330019653003040,6,27,4
330019653003041,11,34,8
330019653003042,0,0,3
330019653003043,17,39,5
330019653003044,5,11,4
330019653003045,2,7,4
330019653003046,0,0,0
330019653003047,0,0,0
330019653003048,0,0,0
330019653003049,0,0,0
330019653003050,7,19,112
330019653003051,0,3,1
330019653003052,2,13,5
330019653003053,0,0,0
330019653003054,11,18,4
330019653003055,9,36,4
330019653003056,2,2,0
330019653003057,6,13,3
330019653003058,0,0,2
330019653003059,0,0,0
330019653003060,0,3,1
330019653003061,0,0,0
330019653003062,1,6,2
330019653003063,1,8,2
330019653003064,6,11,4
330019653003065,0,3,7
330019653003066,0,7,6
330019653003067,0,2,0
330019653003068,0,2,0
330019653003069,0,11,1
330019653003070,0,0,0
330019653003071,0,0,0
330019653003072,4,8,1
330019653003073,0,0,0
330019653003074,0,0,0
330019653003075,0,1,0
330019654001000,0,0,0
330019654001001,0,11,10
330019654001002,13,42,5
330019654001003,0,0,0
330019654001004,3,13,0
330019654001005,0,0,0
330019654001006,0,0,0
330019654001007,9,28,7
330019654001008,0,0,0
330019654001009,3,5,0
330019654001010,0,0,0
330019654001011,0,0,1
330019654001012,2,24,6
330019654001013,0,0,0
330019654001014,0,7,2
330019654001015,1,1,0
330019654001016,4,2,0
330019654001017,17,44,9
330019654001018,13,35,14
330019654001019,7,46,12
330019654001020,5,6,0
330019654001021,0,0,0
330019654001022,0,0,0
330019654001023,0,0,1
330019654001024,2,4,8
330019654001025,1,8,0
330019654001026,5,25,7
330019654001027,0,0,0
330019654001028,0,0,0
330019654001029,0,0,0
330019654001030,0,2,1
330019654001031,0,0,0
330019654001032,0,0,0
330019654001033,0,0,0
330019654001034,0,2,0
330019654001035,0,0,0
330019654001036,12,33,7
330019654001037,1,15,6
330019654001038,3,10,0
330019654001039,23,74,19
330019654001040,0,0,0
330019654001041,16,49,17
330019654001042,0,0,0
330019654001043,5,47,6
330019654001044,0,0,0
330019654001045,0,0,0
330019654001046,2,4,0
330019654001047,2,5,0
330019654001048,1,10,0
330019654001049,0,0,0
330019654001050,1,4,4
330019654001051,0,0,0
330019654001052,25,44,15
330019654001053,0,0,0
330019654001054,0,3,0
330019654001055,0,0,0
330019654001056,0,0,0
330019654001057,0,0,0
330019654001058,0,0,0
330019654002000,0,1,1
330019654002001,7,34,10
330019654002002,0,0,0
330019654002003,0,4,0
330019654002004,26,74,21
330019654002005,6,18,5
330019654002006,0,0,0
330019654002007,5,9,0
330019654002008,0,0,0
330019654002009,0,0,0
330019654002010,0,0,0
330019654002011,0,0,0
330019654002012,2,2,0
330019654002013,0,16,1
330019654002014,0,0,0
330019654002015,38,124,29
330019654002016,0,0,0
330019654002017,0,1,1
330019654002018,0,3,0
330019654002019,0,0,0
330019654002020,3,30,7
330019654002021,0,0,0
330019654002022,2,5,1
330019654002023,0,0,0
330019654002024,12,54,6
330019654002025,0,2,0
330019654002026,0,0,0
330019654002027,1,5,3
330019654002028,0,0,0
330019654002029,2,7,0
330019654002030,3,11,8
330019654002031,3,2,0
330019654002032,6,18,1
330019654002033,3,14,3
330019654002034,0,0,0
330019654002035,0,0,0
330019654002036,0,0,0
330019654002037,0,0,0
330019654002038,10,11,0
330019654002039,0,0,0
330019654002040,6,19,3
330019654002041,9,51,5
330019654002042,0,3,0
330019654002043,0,2,2
330019654002044,1,7,3
330019654002045,3,6,0
330019654002046,0,3,0
330019654002047,20,78,23
330019654002048,0,0,0
330019654002049,0,0,0
330019654002050,0,0,0
330019654002051,2,6,1
330019654002052,0,0,0
330019654002053,0,0,0
330019654002054,0,2,0
330019654002055,0,2,0
330019654002056,11,26,5
330019654002057,5,11,2
330019654002058,2,22,3
330019654002059,13,26,8
330019654002060,21,60,8
330019654002061,3,13,3
330019654002062,0,0,0
330019654002063,0,0,0
330019654002064,0,0,0
330019654002065,0,0,0
330019654002066,0,0,0
330019654002067,6,16,1
330019654002068,0,0,0
330019654002069,23,79,15
330019654002070,2,2,0
330019654002071,10,25,2
330019654002072,0,0,0
330019654002073,0,0,0
330019654002074,6,9,0
330019654002075,0,0,0
330019654002076,13,44,9
330019654002077,8,30,6
330019654002078,16,67,8
330019654002079,0,0,0
330019654002080,0,1,2
330019654002081,9,15,0
330019654002082,0,0,0
330019654002083,0,0,0
330019654002084,30,98,9
330019654002085,0,0,0
330019654002086,0,1,0
330019654002087,0,0,0
330019654002088,0,0,0
330019654002089,0,0,0
330019654002090,1,3,1
330019654002091,16,38,5
330019654002092,16,57,8
330019654002093,4,14,3
330019654002094,0,0,1
330019654002095,0,0,0
330019654002096,0,0,0
330019654002097,27,55,15
330019654002098,0,0,0
330019654002099,0,0,0
330019654002100,0,0,0
330019654002101,0,0,0
330019654002102,3,11,0
330019654002103,0,1,1
330019654002104,0,0,0
330019654002105,0,0,0
330019654002106,2,6,2
330019654002107,0,0,0
330019654002108,0,0,0
330019654002109,0,0,0
330019654002110,0,0,0
330019654002111,0,0,0
330019654002112,0,0,0
330019654002113,0,8,0
330019654002114,0,0,0
330019654002115,0,0,0
330019655981000,0,0,0
330019655981001,16,66,10
330019655981002,3,10,2
330019655981003,0,3,0
330019655981004,0,0,0
330019655981005,6,15,1
330019655981006,23,100,197
330019655981007,0,0,0
330019655981008,16,46,19
330019655981009,3,4,2
330019655981010,0,0,0
330019655981011,26,80,54
330019655981012,7,23,7
330019655981013,0,0,0
330019655981014,22,62,5
330019655981015,0,0,0
330019655981016,23,81,2
330019655981017,0,0,0
330019655981018,8,29,2
330019655981019,0,0,0
330019655981020,0,0,0
330019655981021,17,47,4
330019655981022,3,13,1
330019655981023,14,27,3
330019655981024,2,18,2
330019655981025,5,9,2
330019655981026,16,33,0
330019655981027,0,0,0
330019655981028,0,0,0
330019655981029,3,9,0
330019655981030,0,0,0
330019655981031,6,31,3
330019655981032,4,40,6
330019655981033,7,23,2
330019655981034,0,0,0
330019655981035,0,0,0
330019655981036,0,5,2
330019655981037,3,6,1
330019655981038,0,0,0
330019655981039,0,0,0
330019655981040,2,7,3
330019655982000,8,38,8
330019655982001,0,0,0
330019655982002,19,80,13
330019655982003,11,16,1
330019655982004,0,5,1
330019655982005,21,43,4
330019655982006,0,0,0
330019655982007,0,0,0
330019655982008,0,0,0
330019655982009,0,0,0
330019655982010,0,0,0
330019655982011,0,0,0
330019655982012,0,0,0
330019655982013,0,0,0
330019655982014,0,0,0
330019655982015,0,0,0
330019655982016,0,0,0
330019655982017,0,0,0
330019655982018,0,0,0
330019655982019,28,79,10
330019655982020,3,13,7
330019655982021,0,0,0
330019655982022,0,0,0
330019655982023,0,0,0
330019655982024,0,0,0
330019655982025,0,0,2
330019655982026,0,0,0
330019655982027,0,0,0
330019655982028,3,14,2
330019655982029,0,1,0
330019655982030,0,0,0
330019655982031,2,23,4
330019655982032,0,0,0
330019655982033,0,0,2
330019655982034,0,2,0
330019655982035,11,32,11
330019655982036,0,6,0
330019655982037,20,93,24
330019655982038,4,15,0
330019655982039,1,5,0
330019655982040,0,0,0
330019655982041,19,55,2
330019655982042,2,7,1
330019655982043,0,1,2
330019655982044,1,9,4
330019655982045,0,0,2
330019655982046,7,24,9
330019655982047,0,1,2
330019655982048,6,26,4
330019655982049,0,0,0
330019655982050,19,79,77
330019655982051,2,3,0
330019655982052,0,1,7
330019655982053,0,10,11
330019655982054,0,2,8
330019655982055,0,0,0
330019655982056,0,0,0
330019655982057,0,0,0
330019655982058,0,0,0
330019655982059,0,0,0
330019655982060,0,0,0
330019655982061,0,0,0
330019655982062,0,0,0
330019655982063,0,0,0
330019655982064,10,33,6
330019655982065,0,0,0
330019655982066,0,0,0
330019655982067,0,0,0
330019655982068,0,0,0
330019655982069,2,4,1
330019655982070,0,0,0
330019655982071,4,28,5
330019655982072,3,8,1
330019655982073,0,0,0
330019655982074,0,0,0
330019655982075,0,0,0
330019655982076,1,2,0
330019655983000,0,0,0
330019655983001,0,0,0
330019655983002,3,4,3
330019655983003,5,22,6
330019655983004,0,0,0
330019655983005,0,0,0
330019655983006,0,0,0
330019655983007,1,7,2
330019655983008,0,0,0
330019655983009,0,0,0
330019655983010,0,0,0
330019655983011,0,2,0
330019655983012,0,0,0
330019655983013,0,4,0
330019655983014,10,30,7
330019655983015,0,0,0
330019655983016,0,0,0
330019655983017,0,0,0
330019655983018,9,19,3
330019655983019,24,57,13
330019655983020,0,0,0
330019655983021,0,2,1
330019655983022,0,0,0
330019655983023,0,3,0
330019655983024,0,8,2
330019655983025,0,1,2
330019655983026,0,0,0
330019655983027,0,7,3
330019655983028,0,4,0
330019655983029,0,0,0
330019655983030,0,0,0
330019655983031,0,0,0
330019655983032,1,19,5
330019655983033,0,0,0
330019655983034,10,37,4
330019655983035,0,0,0
330019655983036,0,0,0
330019655983037,0,0,0
330019655983038,3,4,0
330019655983039,0,0,0
330019655983040,6,17,13
330019655983041,0,0,0
330019655983042,41,118,21
330019655983043,13,12,1
330019655983044,11,28,0
330019655983045,0,0,0
330019655983046,0,0,0
330019655983047,0,0,0
330019655983048,7,14,4
330019655983049,0,0,0
330019655983050,0,1,1
330019655983051,13,77,25
330019655983052,0,0,0
330019655983053,0,12,1
330019655983054,0,17,1
330019655983055,0,1,0
330019655983056,0,0,0
330019655983057,0,0,0
330019655983058,5,9,0
330019655983059,0,3,2
330019655983060,0,4,2
330019655983061,0,0,0
330019655983062,0,0,0
330019655983063,0,0,0
330019655983064,3,8,2
330019655983065,3,6,0
330019655983066,1,8,3
330019655983067,0,0,0
330019655983068,2,10,3
330019655983069,0,0,0
330019655983070,0,0,0
330019655983071,11,43,15
330019655983072,3,18,1
330019655983073,1,11,0
330019655983074,0,0,0
330019655983075,0,0,0
330019655983076,6,6,3
330019655983077,0,0,0
330019655983078,3,8,1
330019655983079,0,4,2
330019655983080,0,0,0
330019655983081,0,0,0
330019655983082,0,0,0
330019655983083,0,0,0
330019655983084,0,0,0
330019655983085,0,0,0
330019655983086,0,0,0
330019655983087,0,0,1
330019655983088,0,0,0
330019655983089,0,0,0
330019655983090,0,0,0
330019655983091,0,0,0
330019655983092,0,1,1
330019655983093,0,4,0
330019655983094,0,0,0
330019655983095,0,0,0
330019656001000,0,7,3
330019656001001,9,45,11
330019656001002,0,0,0
330019656001003,0,0,0
330019656001004,3,13,6
330019656001005,2,6,1
330019656001006,16,38,5
330019656001007,1,3,0
330019656001008,0,3,0
330019656001009,0,0,0
330019656001010,19,32,5
330019656001011,33,94,16
330019656001012,3,10,1
330019656001013,12,18,1
330019656001014,6,19,1
330019656001015,4,15,1
330019656001016,2,8,9
330019656001017,0,0,0
330019656001018,12,20,5
330019656001019,51,138,30
330019656001020,4,7,0
330019656001021,0,1,2
330019656001022,0,0,2
330019656001023,1,5,0
330019656001024,4,2,0
330019656001025,23,91,13
330019656001026,4,5,0
330019656001027,0,0,0
330019656001028,0,5,2
330019656001029,0,0,0
330019656001030,0,2,2
330019656001031,0,0,0
330019656001032,0,0,0
330019656001033,10,19,4
330019656001034,0,0,0
330019656001035,0,0,0
330019656001036,0,0,0
330019656001037,3,16,4
330019656001038,7,15,0
330019656001039,0,3,0
330019656001040,0,6,0
330019656001041,0,0,0
330019656001042,7,50,14
330019656001043,0,2,0
330019656001044,8,10,2
